a$$, a**
a.i.m., aol instant messanger
a/l, age and location
a/s/l, age,sex,location
a/s/l/p, age/sex/location/picture
a/s/l/r, age, sex, location, race
aak, Alive and Kicking
abft, About f**king Time
acgaf, Absolutely couldn't give a f**k
af, assface
afc, away from computer
afcpmgo, away from computer parents may go on
afg, away from game
afk, away from keyboard
afkb, away from keyboard
ah, a** hole
ahole, a**h**e
aitr, Adult in the room
alol, actually laughing out loud
amf, adios motherf**ker
amiic, ask me if i care
amiigaf, ask me if  i give a f**k
ams, Ask me something
amsp, ask me something personal
anlsx, Anal Sex
aos, adult over shoulder
aota, all of the above
arse, a**
asafp, as soon as f**king possible
asbmaetp, Acronyms should be memorable and easy to pronounce
ase, age, sex, ethnicity
ashl, a**h**e
ashole, a**h**e
asl, age, sex, location
aslo, age sex location orientation
aslop, Age Sex Location Orientation Picture
aslp, age, sex, location, picture
aslr, age sex location race
aslrp, age, sex, location, race, picture
asr, age sex race
asshle, a**h**e
atfp, answer the f**king phone
audy, Are you done yet?
aufm, are you f**king mental
aufsm, are you f**king shiting me
ayagob, are you a girl or boy
ayb, All Your Base
aybab2m, all your base are belong 2 me
aybab2u, All your base are belong to us
aybabtg, All Your Base Are Belong To Google
aybabtu, all your base are belong to us
ayd, are you done
aydy, are you done yet
ayfk, are you f**king kidding
ayfkm, are you f**king kidding me
ayfr, are you for real
ayfs, Are You f**king Serious
ayk, are you kidding
aykm, are you kidding me
ayl, are you listening
aymf, are you my friend
ayok, are you okay
ays, are you serious
aysm, are you shitting me?
ayst, are you still there
ayt, are you there
aytf, are you there f**ker
ayty, are you there yet
azhol, a**h**e
azz, a**
b.s., bulls**t
b/s/l, Bisexual/Straight/Lesbian
b1tch, b***h
bab, Big a** Boobs
bamf, bad a** mother f**ker
bamofo, b***h a** mother f**ker
bb4h, bros before hoes
bb4n, Bye-bye for now
bbbj, Bare Back Blow Job
bbf, best boy friend
bbfn, Bye Bye for now
bbfs, best boyfriends
bbfu, be back for you
bbg, baby girl
bbiab, be back in a bit
bbiaf, be back in a few
bbialb, Be back in a little bit
bbiam, be back in a minute
bbias, be back in a second
bbiaw, be back in a while
bbifs, be back in a few seconds
bbilb, be back in a little bit
bbilfm, be back in like five minutes
bbim, Be Back In Minute
bbk, be back, ok?
bbl, be back later
bbl8a, Be Back Later
bblig, Be back later...i guess
bbm, BlackBerry Messenger
bbml, be back much later
bbn, be back never
bbol, be back online later
bbq, be back quick
bbrs, be back really soon
bbs, be back soon
bbsts, be back some time soon
bbt, be back tomorrow
bbtn, be back tonite
bbvl, Be Back Very Later
bbw, be back whenever
bbwb, best buddy with boobs
bbwe, be back whenever
bbwl, be back way later
bch, b***h
beatch, b***h
beech, b***h
beeoch, b***h
beezy, b***h
beotch, b***h
betch, b***h
bewb, boob
bewbs, boobs
bewbz, boobs
bewt, boot
beyatch, b***h
beyotch, b***h
bfe, Bum f**k Egypt
bfg, big f**king gun
bfh, b***h from hell
bft, big f**king tits
bhwu, back home with you
biab, back in a bit
biach, b***h
biaf, Back In A Few
biatch, b***h
bibi, bye bye
bibifn, bye bye for now
bich, b***h
bii, bye
bilf, brother i'd like to f**k
biotch, b***h
bioya, blow it out your a**
bish, b***h
bizatch, b***h
biznatch, b***h
biznitch, b***h
bizzle, b***h
bj, blowjob
blj, blowjob
bljb, Blowjob
bm&y, between you and me
bmay, between me and you
bmf, be my friend
bmha, bite my hairy a**
bndm3ovr, Bend me over
boati, Bend Over And Take It
bobfoc, Body of Baywatch, Face of Crimewatch
bofh, b*****d operator from hell
bohic, Bend over here it comes
bohica, bend over, here it comes again
bpot, big pair of tits
brbf, Be Right Back f**ker
bs, bulls**t
bsmfh, b*****d System Manager From Hell
bstfu, b***h shut the f**k up
bstrd, b*****d
btch, b***h
btfo, back the f**k off
btfw, by the f**king way
btias, Be there in a second
bts, be there soon
btsoom, Beats The s**t Out Of Me
bubi, bye
budzecks, butt sex
buhbi, Bye Bye
bur, p***y
burma, be undressed ready my angel
but6, buttsex
butsecks, butt sex
butterface, every thing is hot but her face
buwu, breaking up with you
byeas, good-bye
byes, bye bye
bytch, b***h
c.y.a, cover your a**
c2c, care to chat?
cawk, c**k
cbf, cant be f**ked
cbfa, can't be f**king arsed
cbfed, can't be f**ked
cfm, come f**k me
cgad, couldn't give a d**n
cgaf, couldn't give a f**k
chswm, come have sex with me
chswmrn, come have sex with me right now
chut, p***y
cilf, child i'd like to f**k
cma, Cover My a**
cmao, Crying My a** Off
crs, can't remember s**t
cskr, c**k sucker
csl, can't stop laughing
ct, can't talk
ctc, call the cell
ctfd, calm the f**k down
ctfo, chill the f**k out
ctfu, cracking the f**k up
ctm, chuckle to myself
cu46, see you for sex
cuic, see you in cla**
cunt, vagina
cybseckz, cyber sex
cyff, change your font, f**ker
cyl,a, see ya later, alligator
d.t.f, down to f**k
d1ck, d**k
d2, Diablo 2
dafs, do a f**king search
dass, dumb a**
dayum, d**n
dayumm, d**n
dbab, don't be a b***h
dbag, d****ebag
dcw, Doing Cla** Work
df, Dumb f**k
dfc, DON'T f**kING CARE
dfo, dumb f**king operator
dfu, don't f**k up
dfw/m, Don't f**k with Me
dfwm, Don't f**k with Me
dfwmt, Don't f**king waste my time
dgaf, don't give a f**k
dgara, don't give a rats a**
dgas, Don't give a s**t
dick, penis
dih, d**k in hand
dikhed, dickhead
dilf, dad i'd like to f**k
dillifc, do I look like I f**king care
dilligad, do I look like I give a d**n
dilligaf, do I look like I give a f**k
dilligas, do i look like i give a s**t
dmba*, dumba**
dmn, d**n
dnimb, dancing naked in my bra
dvda, double vaginal, double anal
dy2h, d**n you to hell
dyac, d**n you auto correct
dylos, do you like oral sex
dyth, d**n You To Hell
ead, eat a d**k
ef, f**k
ef-ing, f**king
effed, f**ked
effin, f**king
effing, f**king
esad, eat s**t and die
esadyffb, eat s**t and die you fat f**king b*****d
esl, eat s**t loser
f u, f**k you
f#cking, f**king
f'n, f**king
f-ing, f**king
f.m.l., f**k my life
f.u., f**k you
f/o, f**k off
f00k, f**k.
fa-q, f**k you
fap, masturbate
fapping, masterbating
farg, f**k
fawk, f**k
fck, f**k
fckd, f**ked
fckin, f**king
fcking, f**king
fckm3hdbayb, f**k Me Hard Baby
fcku, f**k you
fcuk, f**k
feck, f**k
fbimcl, Fall Back In My Chair Laughing
ffcl, falling from chair laughing
ffs, for f**k's sake
fg, f**king gay
fgi, f**king google it
fgt, faggot
fi, f**k it
fibijar, f**k it buddy, I'm just a reserve
figjam, f**k I'm good, just ask me
figmo, F*ck it - got my orders
fiic, f**ked If I Care
fiik, f**ked If I Know
fk, f**k
fkd, f**ked
fker, f**ker
fkin, f**king
fking, f**king
fkn, f**king
fku, f**k you
fm, f**k me
fmah, f**k my a** hole
fmao, freezing my a** of
fmb, f**k me b***h
fmbb, f**k Me Baby
fmbo, f**k my brains out
fmfl, f**k my f**king life
fmflth, f**k My f**king Life To Hell
fmh, f**k me hard
fmhb, f**k me hard b***h
fmita, f**k me in the a**
fml, f**k my life
fmltwia, f**k me like the w***e I am
fmn, f**k me now
fmnb, f**k me now b***h
fmnkml, f**k me now kiss me later
fmph, f**k my p***y hard
fmq, f**k me quick
fmr, f**k me runnig
fmsh, f**k me so hard
fmth, f**k me to hell
fmuta, f**k me up the a**
fmutp, f**k me up the p***y
fo, f**k off
foa, f**k off a**h**e
foad, f**k off and die
foah, f**k off a**h**e
fomofo, f**k off mother f**ker
foobar, f**ked up beyond all recognition
fook, f**k
fos, full of s**t
fouc, f**k off you c**t 
focl, Falling Off Chair Laughing.
fofl, fall on the floor laughing
fol, farting out loud
foocl, falls out of chair laughing
fotcl, fell off the chair laughing
foyb, f**k off you b***h
fpmitap, federal pound me in the a** prison
fpos, f**king piece of s**t
fse, Funniest s**t Ever
fsob, f**king son of a b***h
ft, f**k THAT
ftb, f**k That b***h
ftfa, From The f**king Article
ftfw, For the f**king win!
fts, f**k that s**t
fu, f**k you
fua, f**k you all
fuah, f**k you a** hole
fub, f**k you b***h
fubah, f**ked up beyond all hope
fubalm, f**ked up beyond all local maintenance
fubar, f**ked up beyond all recognition
fubb, f**ked up beyond belief
fubh, f**ked up beyond hope
fubohic, f**k you Bend over here it comes
fubr, f**ked Up Beyond Recognition
fucken, f**king
fucktard, f**king retard
fuctard, f**king retard
fudh, f**k you d**k head
fudie, f**k you and die
fugly, f**king ugly
fuh-q, f**k you
fuk, f**k
fukin, f**king
fukk, f**k
fukkin, f**king
fukn, f**king
fukr, f**ker
fumfer, f**k you mother f**ker
fuq, f**k you
fus, f**k yourself
fut, f**k You Too
fuu, f**k you up
fux, f**k
fuxing, f**king
fuxor, f**ker
fuxored, f**ked
fvck, f**k
\fy, f**k you
fyad, f**k you and die
fyah, f**k you a**h**e
fyb, f**k you b***h
fyc, f**k your couch
fyf, f**k your face
fyfi, For Your f**king Information
fym, f**k your mom
fyrb, f**k you right back
fytd, f**k you to death
*g*, grin
g2hb, go to hell b***h
gaf, good as f**k
gafl, get a f**king life
gagf, go and get f**ked
gah, gay a** homo
\gbioua, Go blow it out your a**
gdi, God d**n it
\gdilf, Grandad I'd Like To f**k
gdmfpos, god d**n mother f**king piece of s**t
gfad, go f**k a duck
gfadh, go f**k a dead horse
gfam, Go f**k A Monkey
gfas, go f**k a sheep
gfd, god f**king damnit
gfg, good f**king game
gfgi, go f**king google it
gfi, good f**king idea
gfj, good f**king job
gfo, go f**k off
gfu, go f**k yourself
gfurs, go f**k yourself
gfus, go f**k yourself
gfyd, go f**k your dad
gfym, go f**k your mom
gfys, go f**k yourself
ggf, go get f**ked
gilf, Grandma I'd like to f**k
gmabj, give me a blowjob
gmafb, give me a f**king break
gmao, Giggling my a** off
gmfao, Giggling My f**king a** Off
gmilf, grandmother i'd like to f**k
gngbng, gang bang
gosad, go suck a d**k
goya, Get Off Your a**
gsad, go suck a d**k
gsd, getting s**t done
gsfg, Go search f**king google
gsp, get some p***y
gtas, go take a s**t
gtf, get the f**k
gtfa, Go The f**k Away
gtfbtw, get the f**k back to work
gtfh, go to f**king hell
gtfo, get the f**k out
gtfoi, get the f**k over it
gtfon, Get the f**k out noob
gtfooh, get the f**k out of here
gtfoomf, get the f**k out of my face
gtfu, grow the f**k up
gtfuotb, get the f**k up out this b***h
gthb, go to hell b***h
gthmf, go to hell mothaf**ka
gthyfah, go to hell you f**king a**h**e
gypo, Get Your Penis Out
roflmfao, rolling on the floor laughing my f**king a** off
hakas, have a kick a** summer
hbic, head b***h in charge
hfn, Hell f**king no
hfs, holy f**king s**t!
hfsbm, holy f**king s**t batman
hj, hand job
hla, Hot lesbian action
hlb, horny little b*****d
hlysht, Holy s**t
hmfic, head mother f**ker in charge
hnic, head n****r in charge
hpb, high ping b*****d
hss, horse s**t and splinters
htf, how the f**k
htfu, Hurry the f**k up
hwms, hot wild monkey sex
iafh, I Am f**king Hot
ibs, Internet b***h Slap 
idfc, i don't f**king care
idfk, i don't f**king know
idfts, I don't f**king think so
idgad, I don't give a d**n
idgaf, i don't give a f**k
