a&f, always and forever
a'ight, alright
a/m, away message
a1t, anyone there
a3, anyplace, anywhere, anytime
aaaaa, American Assosciation Against Acronym Abuse
aabf, as a best friend
aaf, as a friend
aamof, as a matter of fact
aatf, always and totally forever
aatw, all around the world
abd, Already Been Done
abend, absent by enforced net deprivation
aboot, about
abreev, abbreviation
absnt, absent
abt, about
abwt, about
acc, account
acct, account
ack, acknowledged
addy, address
adhd, Attention Deficit Hyperactivity Disorder
adl, all day long
admin, administrator
adn, any day now
aeap, as early as possible
afaiaa, As Far As I Am Aware
afaic, as far as I'm concerned
afaicr, As Far As I Can Remember
afaics, as far as I can see
afaict, as far as I can tell
afaik, as far as I know
afair, as far as I recall
afaiu, As far as I understand
agn, again
ai, Artificial Intelligence
aiadw, ALL IN A DAYS WORK
aight, Alright
aightz, alright
aiic, as if I care
aiid, and if I did
aiight, all right
ain't, am not
aite, Alright
aiui, as I understand it
aiws, as i was saying
ajax, Asynchronous Javascript and XML
aka, also known as
akp, Alexander King Project
akpcep, Alexander King Project Cultural Engineering Project
alaytm, as long as you tell me
alot, a lot
alotbsol, always look on the bright side of life
alright, all right
alrite, Alright
alrt, alright
alryt, alright
ama, ask me anything
aml, All My Love
anim8, animate
anl, all night long
anon, anonymous
anuda, another
anw, anyways
anwwi, alright now where was i
any1, Anyone
anywaz, anyways
aob, any other business
aoc, age of consent
aoe, Age Of Empires
aon, all or nothing
aoto, Amen on that one
aoys, angel on your shoulder
api, application program interface
apoc, apocalypse
apod, Another Point Of Discussion
app, application
appt, appointment
aprece8, appreciate
apreci8, appreciate
apu, as per usual
aqap, as quick as possible
ar, are
arnd, around
arsed, bothered
arvo, afternoon
asaik, as soon as I know
asap, as soon as possible
asarbambtaa, All submissions are reviewed by a moderator before they are added.
asf, and so forth
asic, application specific integrated circuit
atb, all the best
atl, atlanta
atm, at the moment
ato, against the odds
atop, at time of posting
atp, answer the phone
atq, answer the question
atst, At the same time
attn, attention
attotp, At The Time Of This Post
atw, All the way
aty, according to you
aup, acceptable use policy
av7x, avenged sevenfold
avgn, Angry Video Game Nerd
avie, Avatar
avsb, a very special boy
avtr, avatar
avvie, avatar
avy, Avatar
awb, Acquaintance with benefits
awes, awesome
awk, awkward
awol, absent without leave
awsic, and why should i care
awsm, awesome
awsome, awesome
ayc, awaiting your comments
ayec, at your earliest convenience
aypi, And Your Point Is
aypi, and your point is
ayte, alright
ayw, as you wish
azn, asian
bi, bye
b&, banned
b'day, birthday
b-cuz, because
b-day, birthday
b.f.f., best friend forever
b/c, because
b/cos, because
b/g, background
b/t, between
b/w, between
b00n, new person
b00t, boot
b0rked, broken
b2b, business to business
b2u, back to you
b2w,  Back to work
b3, be
b4, before
b4n, bye for now
b4u, before you
b4ug, before you go
b4ul, before you Leave
b8, bait
b82rez, Batteries
b8rez, Batteries
b@, banned
babi, baby
bae, before anyone else
baf, bring a friend
baggkyko, be a good girl, keep your knickers on
bah, I don't really care
bai, Bye
bak, back
bakk, back
balz, balls
bau, back at you
bb, bye bye
bbe, baby
bbi, Baby
bbp, Banned by parents
bby, baby
bbz, babes
bc, because
bck, back
bcnu, be seeing you
bcnul8r, be seeing you later
bcoz, Because
bcurl8, Because you're late.
bcuz, because
bd, birthday
bday, birthday
bdfl, Benevolent Dictator For Life
be4, before
bebe, baby
becuse, because
becuz, because
besos, kisses
bestie, best friend
betcha, bet you
bettr, better
bezzie, best friend
bf, boyfriend
bf's, boyfriend's
bf+gf, boyfriend and girlfriend
bf4e, best friends for ever
bf4eva, Best Friends forever
bf4l, best friends for life
bfam, brother from another mother
bfd, big f**king deal
bff, best friend forever
bffa, best friends for always
bffaa, Best Friends Forever And Always
bffae, Best Friends Forever And Ever
bffaw, best friends for a while
bffe, Best friends forever
bffeae, Best Friend For Ever And Ever
bffene, Best Friends For Ever And Ever
bffl, best friends for life
bffn, best friends for now
bfftddup, best friends forever till death do us part
bfhd, big fat hairy deal
bfitww, best friend in the whole world
bfn, bye for now
bfs, Boyfriends
bg, background
bh, bloody hell
bicbw, but I could be wrong
bigd, big deal
bilu, baby i love you
bion, Believe it or not.
bitd, back in the day
bitz, neighborhood
biw, boss is watching
biwm, bisexual white male
biz, Business
bizi, Busy
bk, back
bka, better known as
bl, bad luck
bleme, blog meme
bleve, believe
blg, blog
blh, bored like hell
bling-bling, jewelry
blk, black
blkm, Black Male
blnt, Better Luck Next time
blog, web log
blogger, web logger
blu, blue
bm, Bite Me
bm4l, best mates for life
bma, best mates always
bmfe, best mates forever
bmfl, best mates for life
bml, bless my life
bmoc, Big Man On Campus
